wavelength,Qabs
1151,4.81E-05
1152,7.56E-05
1153,6.34E-05
1154,4.81E-05
1155,7.26E-05
1156,1.15E-04
1157,1.19E-04
1158,7.26E-05
1159,4.81E-05
1160,9.09E-05
1161,1.28E-04
1162,9.40E-05
1163,7.26E-05
1164,9.09E-05
1165,1.19E-04
1166,1.03E-04
1167,9.71E-05
1168,1.03E-04
1169,1.03E-04
1170,1.40E-04
1171,1.40E-04
1172,9.40E-05
1173,7.87E-05
1174,1.03E-04
1175,1.55E-04
1176,1.52E-04
1177,8.48E-05
1178,1.00E-04
1179,1.68E-04
1180,1.58E-04
1181,1.03E-04
1182,1.06E-04
1183,1.31E-04
1184,1.43E-04
1185,1.77E-04
1186,1.65E-04
1187,1.03E-04
1188,1.55E-04
1189,2.17E-04
1190,1.62E-04
1191,1.34E-04
1192,1.77E-04
1193,1.71E-04
1194,1.43E-04
1195,1.58E-04
1196,1.58E-04
1197,1.52E-04
1198,1.65E-04
1199,1.71E-04
1200,1.74E-04
1201,1.83E-04
1202,1.68E-04
1203,1.49E-04
1204,1.03E-04
1205,5.42E-05
1206,1.22E-04
1207,1.89E-04
1208,1.62E-04
1209,8.79E-05
1210,7.87E-05
1211,1.46E-04
1212,1.09E-04
1213,4.19E-05
1214,6.03E-05
1215,1.19E-04
1216,1.15E-04
1217,6.95E-05
1218,3.58E-05
1219,6.03E-05
1220,1.12E-04
1221,1.12E-04
1222,8.18E-05
1223,1.13E-05
1224,3.58E-05
1225,9.09E-05
1226,7.87E-05
1227,4.50E-05
1228,4.50E-05
1229,7.87E-05
1230,7.56E-05
1231,6.95E-05
1232,5.72E-05
1233,5.11E-05
1234,7.26E-05
1235,8.48E-05
1236,7.56E-05
1237,9.09E-05
1238,9.09E-05
1239,6.64E-05
1240,7.26E-05
1241,9.40E-05
1242,9.09E-05
1243,7.87E-05
1244,8.48E-05
1245,8.48E-05
1246,7.26E-05
1247,9.71E-05
1248,1.09E-04
1249,8.18E-05
1250,7.26E-05
1251,6.34E-05
1252,7.87E-05
1253,9.09E-05
1254,8.48E-05
1255,9.09E-05
1256,1.03E-04
1257,7.56E-05
1258,6.64E-05
1259,8.18E-05
1260,9.71E-05
1261,9.71E-05
1262,7.26E-05
1263,8.48E-05
1264,1.09E-04
1265,9.40E-05
1266,5.42E-05
1267,4.81E-05
1268,6.64E-05
1269,6.03E-05
1270,4.19E-05
1271,3.58E-05
1272,4.19E-05
1273,6.34E-05
1274,7.26E-05
1275,5.42E-05
1276,6.34E-05
1277,8.79E-05
1278,8.18E-05
1279,6.03E-05
1280,5.72E-05
1281,5.42E-05
1282,3.89E-05
1283,4.50E-05
1284,5.11E-05
1285,6.34E-05
1286,6.95E-05
1287,7.56E-05
1288,8.18E-05
1289,6.64E-05
1290,6.03E-05
1291,6.03E-05
1292,7.56E-05
1293,1.03E-04
1294,9.09E-05
1295,7.87E-05
1296,8.79E-05
1297,8.79E-05
1298,6.64E-05
1299,5.42E-05
1300,6.34E-05
1301,5.42E-05
1302,4.19E-05
1303,5.42E-05
1304,7.26E-05
1305,7.56E-05
1306,6.34E-05
1307,6.34E-05
1308,6.64E-05
1309,5.42E-05
1310,6.95E-05
1311,6.95E-05
1312,4.81E-05
1313,7.56E-05
1314,9.09E-05
1315,7.87E-05
1316,7.56E-05
1317,7.56E-05
1318,6.34E-05
1319,6.95E-05
1320,7.26E-05
1321,8.18E-05
1322,8.18E-05
1323,9.71E-05
1324,9.71E-05
1325,7.87E-05
1326,7.56E-05
1327,7.56E-05
1328,1.15E-04
1329,1.31E-04
1330,1.03E-04
1331,7.56E-05
1332,6.95E-05
1333,1.19E-04
1334,1.34E-04
1335,9.40E-05
1336,7.56E-05
1337,1.09E-04
1338,1.80E-04
1339,1.74E-04
1340,1.12E-04
1341,8.18E-05
1342,9.09E-05
1343,1.83E-04
1344,2.66E-04
1345,2.17E-04
1346,1.12E-04
1347,1.65E-04
1348,2.97E-04
1349,2.82E-04
1350,1.92E-04
1351,1.37E-04
1352,2.17E-04
1353,3.74E-04
1354,3.68E-04
